street,town,county,postcode,country,ukregion
6 Police Houses, Haltwhistle,Northumberland, NE49 9DH,UK,North East
15 Salisbury Road, High Wycombe,Buckinghamshire, HP13 6UL,UK,South East
14 Walrow Terrace, Highbridge,Somerset, TA9 4AA,UK,South West
"Tall Trees, Tickmorend", Horsley,Gloucestershire, GL6 0PE,UK,South West
"Ashwyn, Godley Green", Hyde,Greater Manchester, SK14 3BE,UK,North West
20 Museum Street, Ipswich,Suffolk, IP1 1HZ,UK,South East
3 Brookside, Knighton,Powys, LD7 1DW,UK,Wales
24 Picton Street, Leek,Staffordshire, ST13 8AX,UK,West Midlands
1 Pinehurst Road, Liverpool,Merseyside, L4 2TU,UK,North West
3 - 7 Ray Street, London,Greater London, EC1R 3DR,UK,London
2 Doddington Place, London,Greater London, SE17 3TH,UK,London
"Flat 40, Carlton House, Canterbury Terrace", London,Greater London, NW6 5DY,UK,London
23 Vyner Road, London,Greater London, W3 7LY,UK,London
"Flat 17, Tideham House,  Merbury Close", London,Greater London, SE28 0LW,UK,London
69 Wigston Road, London,Greater London, E13 8QN,UK,London
19 Penfold Road, London,Greater London, N9 8EH,UK,London
"Flat 42, William Morris House, Margravine Road", London,Greater London, W6 8LR,UK,London
16 Walton Place, London,Greater London, SW3 1RJ,UK,London
"4 Fenswood Mews,  14 Fenswood Road", Long Ashton,Somerset, BS41 9FL,UK,South West
46 High Street, Longstanton,Cambridgeshire, CB24 3BS,UK,East
"Coroville, Cherry Corner", Lymm,Cheshire, WA13 0TB,UK,North West
"1 Marlborough Court, Bradford Road", Menston,West Yorkshire, LS29 6DD,UK,Yorkshire & Humber
12 Beechwood Close, Nailsworth,Gloucestershire, GL6 0BG,UK,East
1080 Shields Road, Newcastle Upon Tyne,Tyne and Wear, NE6 4SS,UK,North East
"White Cottage, Callerton Lane Ends", Newcastle Upon Tyne,Tyne and Wear, NE5 1NU,UK,North East
20 Laurel Drive, Newport,Gwent, TF10 7LY,UK,Wales
1 St Wilfred Drive, Northallerton,North Yorkshire, DL7 8JG,UK,Yorkshire & Humber
121A Long Nuke Road, Northfield,West Midlands, B31 1DX,UK,West Midlands
19 Letcombe Road, Nottingham,Nottinghamshire, NG11 8FJ,UK,East Midlands
Shortings Farm Cottage, Offton,Sufflok, IP8 4RS,UK,East
"East House, The Old Walled Garden", Otterburn,Northumberland, NE19 1AT,UK,North East
"Round Ings Barn, Round Ings Road", Outlane,West Yorkshire, HD3 3FQ,UK,Yorkshire & Humber
Line Cottage, Park Gate,Hampshire, LA21 8AT,UK,South East
"2 Leasam House Cottages, Leasam Lane", Playden,Sussex, TN31 7UE,UK,South West
17 Buttercup Road, Plymouth,Devon, PL6 8EF,UK,South West
6 Tower Road West, Poole,Dorset, BH13 6LA,UK,South West
28 Pwll Y Waun, Porthcawl,Mid Clamorgan, CF36 5HL,UK,Wales
58 Newton Nottage Road, Porthcawl,Mid Clamorgan, CF36 5RP,UK,Wales
103 Newcome Road, Portsmouth,Hampshire, PO1 5DS,UK,South East
16 Clive Close, Potters Bar,Hertfordshire, EN6 2AE,UK,East
5 Rose Gerlan Cottages, Rowen,Conwy, LL32 8YS,UK,Wales
4 Burnside Road, Rowlands Gill,Tyne and Wear, NE39 2LB,UK,North East
15 Field View Drive, Rowley Regis,West Midlands, B65 0RH,UK,West Midlands
12 Nadder Terrace, Salisbury,Wiltshire, SP2 7NN,UK,South West
3 Sturmer Court, Scunthorpe,Lincolnshire , DN16 3TX,UK,East
7 Crispin Road, Sheffield,Yorkshire, S12 2NH,UK,Yorkshire & Humber
1 River Court, Shepperton,Surrey, TW17 9EZ,UK,South East
29 Elm Road, Shipston-On-Stour,Warwickshire, CV36 4FA,UK,West Midlands
"School House, Church Hill", Stalbridge,North Dorset, DT10 2LR,UK,South West
9 Burleigh Close, Stoke-On-Trent,Staffordshire, ST1 3RL,UK,West Midlands
"Hazel Lea,  Cockshott Lane", Storth,Cumbria, LA7 7JN,UK,Yorkshire & Humber
"Chadwick Farm Cottage, Chadwick", Stourport-On-Severn,Worcestershire, DY13 9QZ,UK,West Midlands
Geryffynnon, Swyddffynnon,Ceredigion, SY25 6AL,UK,Wales
"Bethel Cottage, 15 Church Street", Watlington,Oxfordshire, OX49 5QP,UK,South East
13 Moor Lane, Wilmslow,Cheshire, SK9 6AG,UK,North West
31 Gorsewood Road, Woking,Surrey, GU21 8UX,UK,South East
15 Manor Gardens, Wombourne,Staffordshire, WV5 9DG,UK,West Midlands
66 Station Road, Woodhouse,Nottinghamshire, S13 7RB,UK,East Midlands
17 Marson Avenue, Woodlands,Doncaster, DN6 7NY,UK,Yorkshire & Humber
6 High Offley Road, Woodseaves,Staffordshire, ST20 0LF,UK,West Midlands
230 Leigh Road, Worsley,Greater Manchester, M28 1LE,UK,North West
